nameofissuer	titleofclass	cusip	value	shrsorprnamt	investmentdiscretion	votingauthority	putcall
ESPERION THERAPEUTICS INC NE	COM	29664W105	825	17961 SH	SOLE	17961 0 0	N/A
ESSEX PPTY TR INC	COM	297178105	987	4043 SH	SOLE	4043 0 0	N/A
ETF MANAGERS TR	BLUESTAR ISRAEL	26924G870	232	7410 SH	SOLE	7410 0 0	N/A
ETF MANAGERS TR	ETFMG ALTR HRVST	26924G508	518	21056 SH	SOLE	21056 0 0	N/A
ETF MANAGERS TR	PRIME CYBR SCRTY	26924G201	2558	76006 SH	SOLE	76006 0 0	N/A
ETF SER SOLUTIONS	APTU BEHA MOME	26922A784	467	16436 SH	SOLE	16436 0 0	N/A
ETF SER SOLUTIONS	APTUS FORTIFIED	26922A610	455	19194 SH	SOLE	19194 0 0	N/A
ETF SER SOLUTIONS	DEEP VALUE ETF	26922A701	232	7641 SH	SOLE	7641 0 0	N/A
ETFIS SER TR I	INFRAC ACT MLP	26923G103	77	15400 SH	SOLE	15400 0 0	N/A
ETSY INC	COM	29786A106	1441	30440 SH	SOLE	30440 0 0	N/A
EVERGY INC	COM	30034W106	848	14925 SH	SOLE	14925 0 0	N/A
EVERSOURCE ENERGY	COM	30040W108	1725	26523 SH	SOLE	26523 0 0	N/A
EVERTEC INC	COM	30040P103	996	34562 SH	SOLE	34562 0 0	N/A
EVINE LIVE INC	CL A	300487105	16	40000 SH	SOLE	40000 0 0	N/A
EVOLENT HEALTH INC	CL A	30050B101	283	13936 SH	SOLE	13936 0 0	N/A
EXACT SCIENCES CORP	COM	30063P105	15112	239532 SH	SOLE	239532 0 0	N/A
EXACT SCIENCES CORP	COM	30063P105	0	200 SH	SOLE	200 0 0	Call
EXCHANGE LISTED FDS TR	KNLDG LD WD ETF	30151E608	10835	372764 SH	SOLE	372764 0 0	N/A
EXCHANGE TRADED CONCEPTS TR	HULL TACTIC US	301505806	2541	113220 SH	SOLE	113220 0 0	N/A
EXCHANGE TRADED CONCEPTS TR	ROBO GLB ETF	301505707	889	27358 SH	SOLE	27358 0 0	N/A
EXELIXIS INC	COM	30161Q104	2	12400 SH	SOLE	12400 0 0	Call
EXELIXIS INC	COM	30161Q104	749	38111 SH	SOLE	38111 0 0	N/A
EXELON CORP	COM	30161N101	4323	95806 SH	SOLE	95806 0 0	N/A
EXPEDIA GROUP INC	COM NEW	30212P303	658	5818 SH	SOLE	5818 0 0	N/A
EXPEDITORS INTL WASH INC	COM	302130109	6344	93771 SH	SOLE	93771 0 0	N/A
EXTRA SPACE STORAGE INC	COM	30225T102	239	2636 SH	SOLE	2636 0 0	N/A
EXTREME NETWORKS INC	COM	30226D106	557	91310 SH	SOLE	91310 0 0	N/A
EXXON MOBIL CORP	COM	30231G102	381691	5597363 SH	SOLE	5597363 0 0	N/A
EYEPOINT PHARMACEUTICALS INC	COM	30233G100	9942	5260088 SH	SOLE	5260088 0 0	N/A
F M C CORP	COM NEW	302491303	708	9569 SH	SOLE	9569 0 0	N/A
FACEBOOK INC	CL A	30303M102	54	4400 SH	SOLE	4400 0 0	Put
FACEBOOK INC	CL A	30303M102	49908	380601 SH	SOLE	380601 0 0	N/A
FACEBOOK INC	CL A	30303M102	2	1600 SH	SOLE	1600 0 0	Call
FACTSET RESH SYS INC	COM	303075105	492	2458 SH	SOLE	2458 0 0	N/A
FAIR ISAAC CORP	COM	303250104	1136	6075 SH	SOLE	6075 0 0	N/A
FASTENAL CO	COM	311900104	8727	167109 SH	SOLE	167109 0 0	N/A
FASTENAL CO	COM	311900104	6	2500 SH	SOLE	2500 0 0	Call
FEDERAL AGRIC MTG CORP	CL C	313148306	854	14116 SH	SOLE	14116 0 0	N/A
FEDERAL REALTY INVT TR	SH BEN INT NEW	313747206	1242	10519 SH	SOLE	10519 0 0	N/A
FEDERATED INVS INC PA	CL B	314211103	12570	473289 SH	SOLE	473289 0 0	N/A
FEDEX CORP	COM	31428X106	27176	169021 SH	SOLE	169021 0 0	N/A
FERRARI N V	COM	N3167Y103	310	3128 SH	SOLE	3128 0 0	N/A
FERRO CORP	COM	315405100	2240	142820 SH	SOLE	142820 0 0	N/A
FIAT CHRYSLER AUTOMOBILES N	SHS	N31738102	173	12069 SH	SOLE	12069 0 0	N/A
FIBROGEN INC	COM	31572Q808	1268	27365 SH	SOLE	27365 0 0	N/A
FIDELITY	CONSMR STAPLES	316092303	3885	127430 SH	SOLE	127430 0 0	N/A
FIDELITY	HIGH DIVID ETF	316092840	2197	80530 SH	SOLE	80530 0 0	N/A
FIDELITY	MSCI CONSM DIS	316092204	231	6153 SH	SOLE	6153 0 0	N/A
FIDELITY	MSCI ENERGY IDX	316092402	6341	407049 SH	SOLE	407049 0 0	N/A
FIDELITY	MSCI FINLS IDX	316092501	6344	184160 SH	SOLE	184160 0 0	N/A
FIDELITY	MSCI HLTH CARE I	316092600	6265	151836 SH	SOLE	151836 0 0	N/A
FIDELITY	MSCI INDL INDX	316092709	3525	108038 SH	SOLE	108038 0 0	N/A
FIDELITY	MSCI INFO TECH I	316092808	1244	25277 SH	SOLE	25277 0 0	N/A
FIDELITY	MSCI MATLS INDEX	316092881	1165	39267 SH	SOLE	39267 0 0	N/A
FIDELITY	MSCI RL EST ETF	316092857	1585	71155 SH	SOLE	71155 0 0	N/A
FIDELITY	MSCI UTILS INDEX	316092865	4166	119733 SH	SOLE	119733 0 0	N/A
FIDELITY	TOTAL BD ETF	316188309	7582	156220 SH	SOLE	156220 0 0	N/A
FIDELITY COMWLTH TR	NDQ CP IDX TRK	315912808	2061	7934 SH	SOLE	7934 0 0	N/A
FIDELITY NATIONAL FINANCIAL	FNF GROUP COM	31620R303	805	25684 SH	SOLE	25684 0 0	N/A
FIDELITY NATL INFORMATION SV	COM	31620M106	2111	20578 SH	SOLE	20578 0 0	N/A
FIFTH THIRD BANCORP	COM	316773100	2568	109244 SH	SOLE	109244 0 0	N/A
FIREEYE INC	COM	31816Q101	7719	479169 SH	SOLE	479169 0 0	N/A
FIRST DATA CORP NEW	COM CL A	32008D106	183	10574 SH	SOLE	10574 0 0	N/A
FIRST FINL BANCORP OH	COM	320209109	4818	203120 SH	SOLE	203120 0 0	N/A
FIRST FINL BANKSHARES	COM	32020R109	279	4882 SH	SOLE	4882 0 0	N/A
FIRST REP BK SAN FRANCISCO C	COM	33616C100	919	10590 SH	SOLE	10590 0 0	N/A
FIRST SOLAR INC	COM	336433107	4	6000 SH	SOLE	6000 0 0	Call
FIRST SOLAR INC	COM	336433107	186	4388 SH	SOLE	4388 0 0	N/A
FIRST TR ABERDEEN GLBL OPP F	COM SHS	337319107	126	13441 SH	SOLE	13441 0 0	N/A
FIRST TR EXCH TRADED FD III	EME MRK BD ETF	33739P202	332	9062 SH	SOLE	9062 0 0	N/A
FIRST TR EXCH TRADED FD III	LNG/SHT EQUITY	33739P103	8571	231211 SH	SOLE	231211 0 0	N/A
FIRST TR EXCH TRADED FD III	RIVR FRNT DYN	33739P707	222	3975 SH	SOLE	3975 0 0	N/A
FIRST TR EXCH TRD ALPHA FD I	ASIA EX JAPAN	33737J109	551	20245 SH	SOLE	20245 0 0	N/A
FIRST TR EXCH TRD ALPHA FD I	DEV MRK EX US	33737J174	2807	57104 SH	SOLE	57104 0 0	N/A
FIRST TR EXCH TRD ALPHA FD I	EMERG MKT ALPH	33737J182	1237	54252 SH	SOLE	54252 0 0	N/A
FIRST TR EXCH TRD ALPHA FD I	EUROPE ALPHADEX	33737J117	292	9431 SH	SOLE	9431 0 0	N/A
FIRST TR EXCH TRD ALPHA FD I	JAPAN ALPHADEX	33737J158	2594	54070 SH	SOLE	54070 0 0	N/A
FIRST TR EXCHAN TRADED FD VI	FST TR GLB FD	33739H101	433	24132 SH	SOLE	24132 0 0	N/A
FIRST TR EXCHANG TRADED FD I	MANAGD MUN ETF	33739N108	1713	32541 SH	SOLE	32541 0 0	N/A
FIRST TR EXCHANGE TRADED FD	CAP STRENGTH ETF	33733E104	1199	24859 SH	SOLE	24859 0 0	N/A
FIRST TR EXCHANGE TRADED FD	CLOUD COMPUTING	33734X192	1015	20977 SH	SOLE	20977 0 0	N/A
FIRST TR EXCHANGE TRADED FD	CONSUMR DISCRE	33734X101	2738	74371 SH	SOLE	74371 0 0	N/A
FIRST TR EXCHANGE TRADED FD	CONSUMR STAPLE	33734X119	456	10812 SH	SOLE	10812 0 0	N/A
FIRST TR EXCHANGE TRADED FD	DJ GLBL DIVID	33734X200	454	20759 SH	SOLE	20759 0 0	N/A
FIRST TR EXCHANGE TRADED FD	DJ INTERNT IDX	33733E302	11174	95846 SH	SOLE	95846 0 0	N/A
FIRST TR EXCHANGE TRADED FD	ENERGY ALPHADX	33734X127	130	11282 SH	SOLE	11282 0 0	N/A
FIRST TR EXCHANGE TRADED FD	FINLS ALPHADEX	33734X135	2106	78106 SH	SOLE	78106 0 0	N/A
FIRST TR EXCHANGE TRADED FD	FIRST TR ENH NEW	33739Q408	44855	749360 SH	SOLE	749360 0 0	N/A
FIRST TR EXCHANGE TRADED FD	FIRST TR TA HIYL	33738D408	577	12879 SH	SOLE	12879 0 0	N/A
FIRST TR EXCHANGE TRADED FD	FST LOW OPPT EFT	33739Q200	5680	111358 SH	SOLE	111358 0 0	N/A
FIRST TR EXCHANGE TRADED FD	HLTH CARE ALPH	33734X143	4306	62497 SH	SOLE	62497 0 0	N/A
FIRST TR EXCHANGE TRADED FD	INDLS PROD DUR	33734X150	1605	47168 SH	SOLE	47168 0 0	N/A
FIRST TR EXCHANGE TRADED FD	MATERIALS ALPH	33734X168	1851	55272 SH	SOLE	55272 0 0	N/A
FIRST TR EXCHANGE TRADED FD	NASD TECH DIV	33738R118	865	26016 SH	SOLE	26016 0 0	N/A
FIRST TR EXCHANGE TRADED FD	NO AMER ENERGY	33738D101	12002	560289 SH	SOLE	560289 0 0	N/A
FIRST TR EXCHANGE TRADED FD	NY ARCA BIOTECH	33733E203	2869	23160 SH	SOLE	23160 0 0	N/A
FIRST TR EXCHANGE TRADED FD	RBA INDL ETF	33738R704	686	31611 SH	SOLE	31611 0 0	N/A
FIRST TR EXCHANGE TRADED FD	SENIOR LN FD	33738D309	9137	200640 SH	SOLE	200640 0 0	N/A
FIRST TR EXCHANGE TRADED FD	TECH ALPHADEX	33734X176	1154	21983 SH	SOLE	21983 0 0	N/A
FIRST TR EXCHANGE TRADED FD	US EQTY OPPT ETF	336920103	1052	16932 SH	SOLE	16932 0 0	N/A
FIRST TR EXCHANGE TRADED FD	UTILITIES ALPH	33734X184	6510	242741 SH	SOLE	242741 0 0	N/A
FIRST TR EXCHANGE-TRADED FD	PFD SECS INC ETF	33739E108	18377	1024060 SH	SOLE	1024060 0 0	N/A
FIRST TR EXCNGE TRD ALPHADEX	MID CP GR ALPH	33737M102	888	24573 SH	SOLE	24573 0 0	N/A
FIRST TR LRG CP GRWTH ALPHAD	COM SHS	33735K108	1425	24869 SH	SOLE	24869 0 0	N/A
FIRST TR LRG CP VL ALPHADEX	COM SHS	33735J101	1898	41077 SH	SOLE	41077 0 0	N/A
FIRST TR LRGE CP CORE ALPHA	COM SHS	33734K109	2873	55189 SH	SOLE	55189 0 0	N/A
FIRST TR MID CAP CORE ALPHAD	COM SHS	33735B108	578	9970 SH	SOLE	9970 0 0	N/A
FIRST TR MORNINGSTAR DIV LEA	SHS	336917109	3977	145954 SH	SOLE	145954 0 0	N/A
FIRST TR MULTI CP VAL ALPHA	COM SHS	33733C108	589	12309 SH	SOLE	12309 0 0	N/A
FIRST TR NASDAQ100 TECH INDE	SHS	337345102	345	5072 SH	SOLE	5072 0 0	N/A
FIRST TR SML CP CORE ALPHA F	COM SHS	33734Y109	1642	30274 SH	SOLE	30274 0 0	N/A
FIRST TR STOXX EURO DIV FD	COMMON SHS	33735T109	290	24331 SH	SOLE	24331 0 0	N/A
FIRST TR VALUE LINE DIVID IN	SHS	33734H106	7705	264947 SH	SOLE	264947 0 0	N/A
FIRSTCASH INC	COM	33767D105	636	8744 SH	SOLE	8744 0 0	N/A
FIRSTENERGY CORP	COM	337932107	906	24095 SH	SOLE	24095 0 0	N/A
FISERV INC	COM	337738108	1125	15298 SH	SOLE	15298 0 0	N/A
FIVE BELOW INC	COM	33829M101	581	5718 SH	SOLE	5718 0 0	N/A
FLAHERTY & CRUMRINE TOTAL RE	COM	338479108	286	16654 SH	SOLE	16654 0 0	N/A
FLAHERTY&CRMN PFD SEC INCOM	COM	338478100	453	27088 SH	SOLE	27088 0 0	N/A
FLEETCOR TECHNOLOGIES INC	COM	339041105	453	2439 SH	SOLE	2439 0 0	N/A
FLEXSHARES TR	QUALT DIVD IDX	33939L860	205	5155 SH	SOLE	5155 0 0	N/A
FLIR SYS INC	COM	302445101	826	18989 SH	SOLE	18989 0 0	N/A
FLUOR CORP NEW	COM	343412102	990	30905 SH	SOLE	30905 0 0	N/A
FNB CORP PA	COM	302520101	537	54561 SH	SOLE	54561 0 0	N/A
FOMENTO ECONOMICO MEXICANO S	SPON ADR UNITS	344419106	219	2567 SH	SOLE	2567 0 0	N/A
FORD MTR CO DEL	COM PAR $0.01	345370860	3577	465789 SH	SOLE	465789 0 0	N/A
FORD MTR CO DEL	COM PAR $0.01	345370860	1	15000 SH	SOLE	15000 0 0	Call
FORMFACTOR INC	COM	346375108	201	14278 SH	SOLE	14278 0 0	N/A
FORTINET INC	COM	34959E109	8686	123428 SH	SOLE	123428 0 0	N/A
FORTIS INC	COM	349553107	217	6540 SH	SOLE	6540 0 0	N/A
FORTIVE CORP	COM	34959J108	1295	19155 SH	SOLE	19155 0 0	N/A
FORTRESS BIOTECH INC	COM	34960Q109	27	31100 SH	SOLE	31100 0 0	N/A
FORTRESS TRANS INFRST INVS L	COM REP LTD LIAB	34960P101	1149	80124 SH	SOLE	80124 0 0	N/A
FORTUNE BRANDS HOME & SEC IN	COM	34964C106	527	13907 SH	SOLE	13907 0 0	N/A
FORUM ENERGY TECHNOLOGIES IN	COM	34984V100	63	15348 SH	SOLE	15348 0 0	N/A
FORWARD AIR CORP	COM	349853101	390	7139 SH	SOLE	7139 0 0	N/A
FRANKLIN RES INC	COM	354613101	2151	72517 SH	SOLE	72517 0 0	N/A
FREEPORT-MCMORAN INC	CL B	35671D857	1004	97552 SH	SOLE	97552 0 0	N/A
FREEPORT-MCMORAN INC	CL B	35671D857	6	10000 SH	SOLE	10000 0 0	Call
FRESENIUS MED CARE AG&CO KGA	SPONSORED ADR	358029106	552	16936 SH	SOLE	16936 0 0	N/A
FS KKR CAPITAL CORP	COM	302635107	1569	302989 SH	SOLE	302989 0 0	N/A
FULTON FINL CORP PA	COM	360271100	1253	81160 SH	SOLE	81160 0 0	N/A
GABELLI DIVD & INCOME TR	COM	36242H104	395	21549 SH	SOLE	21549 0 0	N/A
GABELLI EQUITY TR INC	COM	362397101	312	60834 SH	SOLE	60834 0 0	N/A
GALLAGHER ARTHUR J & CO	COM	363576109	1539	20869 SH	SOLE	20869 0 0	N/A
GAMCO GLOBAL GOLD NAT RES &	COM SH BEN INT	36465A109	162	43934 SH	SOLE	43934 0 0	N/A
GAMCO INVESTORS INC	CL A COM	361438104	198	11750 SH	SOLE	11750 0 0	N/A
GANNETT CO INC	COM	36473H104	1162	136667 SH	SOLE	136667 0 0	N/A
GAP INC DEL	COM	364760108	250	9757 SH	SOLE	9757 0 0	N/A
GARMIN LTD	SHS	H2906T109	964	15232 SH	SOLE	15232 0 0	N/A
GARTNER INC	COM	366651107	4335	33977 SH	SOLE	33977 0 0	N/A
GASLOG LTD	SHS	G37585109	874	52929 SH	SOLE	52929 0 0	N/A
GATX CORP	COM	361448103	603	8546 SH	SOLE	8546 0 0	N/A
GCI LIBERTY INC	COM CLASS A	36164V305	223	5754 SH	SOLE	5754 0 0	N/A
GENERAC HLDGS INC	COM	368736104	426	8869 SH	SOLE	8869 0 0	N/A
GENERAL DYNAMICS CORP	COM	369550108	6799	43203 SH	SOLE	43203 0 0	N/A
GENERAL ELECTRIC CO	COM	369604103	7	15500 SH	SOLE	15500 0 0	Call
GENERAL ELECTRIC CO	COM	369604103	12762	1672875 SH	SOLE	1672875 0 0	N/A
GENERAL MLS INC	COM	370334104	22779	584493 SH	SOLE	584493 0 0	N/A
GENERAL MTRS CO	COM	37045V100	5273	157604 SH	SOLE	157604 0 0	N/A
GENESEE & WYO INC	CL A	371559105	2299	31098 SH	SOLE	31098 0 0	N/A
GENESIS ENERGY L P	UNIT LTD PARTN	371927104	4603	249242 SH	SOLE	249242 0 0	N/A
GENESIS HEALTHCARE INC	CL A COM	37185X106	618	523570 SH	SOLE	523570 0 0	N/A
GENIE ENERGY LTD	CL B	372284208	141	23303 SH	SOLE	23303 0 0	N/A
GENMARK DIAGNOSTICS INC	COM	372309104	11250	2314931 SH	SOLE	2314931 0 0	N/A
GENOCEA BIOSCIENCES INC	COM	372427104	34	117100 SH	SOLE	117100 0 0	N/A
GENPACT LIMITED	SHS	G3922B107	469	17625 SH	SOLE	17625 0 0	N/A
GENTEX CORP	COM	371901109	487	23887 SH	SOLE	23887 0 0	N/A
GENUINE PARTS CO	COM	372460105	6539	68069 SH	SOLE	68069 0 0	N/A
GERON CORP	COM	374163103	2	1700 SH	SOLE	1700 0 0	N/A
GERON CORP	COM	374163103	3	10000 SH	SOLE	10000 0 0	Call
GETTY RLTY CORP NEW	COM	374297109	460	15643 SH	SOLE	15643 0 0	N/A
GILEAD SCIENCES INC	COM	375558103	46	16000 SH	SOLE	16000 0 0	Call
GILEAD SCIENCES INC	COM	375558103	24761	394781 SH	SOLE	394781 0 0	N/A
GLACIER BANCORP INC NEW	COM	37637Q105	2439	61539 SH	SOLE	61539 0 0	N/A
GLADSTONE CAPITAL CORP	COM	376535100	131	17890 SH	SOLE	17890 0 0	N/A
GLAXOSMITHKLINE PLC	SPONSORED ADR	37733W105	20767	543564 SH	SOLE	543564 0 0	N/A
GLOBAL NET LEASE INC	COM NEW	379378201	1138	64519 SH	SOLE	64519 0 0	N/A
GLOBAL PARTNERS LP	COM UNITS	37946R109	288	17660 SH	SOLE	17660 0 0	N/A
GLOBAL PMTS INC	COM	37940X102	495	4833 SH	SOLE	4833 0 0	N/A
GLOBAL X FDS	GLB X MLP ENRG I	37950E226	3322	304496 SH	SOLE	304496 0 0	N/A
GLOBAL X FDS	GLB X SUPERDIV	37950E549	841	49128 SH	SOLE	49128 0 0	N/A
GLOBAL X FDS	GLBL X MLP ETF	37950E473	6530	849397 SH	SOLE	849397 0 0	N/A
GLOBAL X FDS	GLOBX SUPDV US	37950E291	305	13576 SH	SOLE	13576 0 0	N/A
GLOBAL X FDS	LITHIUM BTRY ETF	37954Y855	365	13530 SH	SOLE	13530 0 0	N/A
GLOBAL X FDS	RBTCS ARTFL INTE	37954Y715	220	13232 SH	SOLE	13232 0 0	N/A
GLOBALSTAR INC	COM	378973408	966	1509584 SH	SOLE	1509584 0 0	N/A
GLOBANT S A	COM	L44385109	327	5713 SH	SOLE	5713 0 0	N/A
GLOBUS MED INC	CL A	379577208	427	9910 SH	SOLE	9910 0 0	N/A
GLU MOBILE INC	COM	379890106	138	17390 SH	SOLE	17390 0 0	N/A
GODADDY INC	CL A	380237107	287	4388 SH	SOLE	4388 0 0	N/A
GOL LINHAS AEREAS INTLG S A	SPON ADR PFD NEW	38045R206	239	17515 SH	SOLE	17515 0 0	N/A
GOLDCORP INC NEW	COM	380956409	179	18256 SH	SOLE	18256 0 0	N/A
GOLDEN ENTMT INC	COM	381013101	179	11210 SH	SOLE	11210 0 0	N/A
GOLDMAN SACHS BDC INC	SHS	38147U107	498	26992 SH	SOLE	26992 0 0	N/A
GOLDMAN SACHS ETF TR	ACCES TREASURY	381430529	793	7932 SH	SOLE	7932 0 0	N/A
GOLDMAN SACHS ETF TR	ACTIVEBETA INT	381430107	4531	178926 SH	SOLE	178926 0 0	N/A
GOLDMAN SACHS ETF TR	EQUITY ETF	381430503	14362	285438 SH	SOLE	285438 0 0	N/A
GOLDMAN SACHS GROUP INC	COM	38141G104	13407	80010 SH	SOLE	80010 0 0	N/A
GOLDMAN SACHS MLP ENERGY REN	COM	38148G107	900	204183 SH	SOLE	204183 0 0	N/A
GOLDMAN SACHS MLP INC OPP FD	COM SHS	38147W103	93	13248 SH	SOLE	13248 0 0	N/A
GOLUB CAP BDC INC	COM	38173M102	4436	269068 SH	SOLE	269068 0 0	N/A
GOODYEAR TIRE & RUBR CO	COM	382550101	3219	157767 SH	SOLE	157767 0 0	N/A
GOPRO INC	CL A	38268T103	798	188718 SH	SOLE	188718 0 0	N/A
GRACO INC	COM	384109104	453	10849 SH	SOLE	10849 0 0	N/A
GRACO INC	COM	384109104	4	3000 SH	SOLE	3000 0 0	Call
GRAHAM HLDGS CO	COM	384637104	1465	2282 SH	SOLE	2282 0 0	N/A
GRAINGER W W INC	COM	384802104	750	2655 SH	SOLE	2655 0 0	N/A
GRAND CANYON ED INC	COM	38526M106	282	3005 SH	SOLE	3005 0 0	N/A
GRANITE CONSTR INC	COM	387328107	335	8335 SH	SOLE	8335 0 0	N/A
GREEN DOT CORP	CL A	39304D102	2386	30018 SH	SOLE	30018 0 0	N/A
GREEN PLAINS INC	COM	393222104	3421	260934 SH	SOLE	260934 0 0	N/A
GREEN PLAINS INC	COM	393222104	112	20000 SH	SOLE	20000 0 0	Call
GREEN PLAINS PARTNERS LP	COM REP PTR IN	393221106	1531	112844 SH	SOLE	112844 0 0	N/A
GREENLIGHT CAPITAL RE LTD	CLASS A	G4095J109	115	13295 SH	SOLE	13295 0 0	N/A
GROUPE CGI INC	CL A SUB VTG	39945C109	2031	33020 SH	SOLE	33020 0 0	N/A
GROUPON INC	COM	399473107	14	4285 SH	SOLE	4285 0 0	N/A
GROUPON INC	COM	399473107	1	60000 SH	SOLE	60000 0 0	Call
GRUBHUB INC	COM	400110102	231	3004 SH	SOLE	3004 0 0	N/A
GRUBHUB INC	COM	400110102	22	500 SH	SOLE	500 0 0	Call
GSV CAP CORP	COM	36191J101	131	25050 SH	SOLE	25050 0 0	N/A
GUGGENHEIM CR ALLOCATION FD	COM	40168G108	400	21770 SH	SOLE	21770 0 0	N/A
GUGGENHEIM ENHNCD EQTY INCM	COM	40167B100	97	14307 SH	SOLE	14307 0 0	N/A
GUIDEWIRE SOFTWARE INC	COM	40171V100	337	4150 SH	SOLE	4150 0 0	N/A
GULF RESOURCES INC	COM PAR $0.0005	40251W309	20	25001 SH	SOLE	25001 0 0	N/A
GW PHARMACEUTICALS PLC	ADS	36197T103	425	4381 SH	SOLE	4381 0 0	N/A
GW PHARMACEUTICALS PLC	ADS	36197T103	442	20000 SH	SOLE	20000 0 0	Call
HAIN CELESTIAL GROUP INC	COM	405217100	290	18056 SH	SOLE	18056 0 0	N/A
HALLIBURTON CO	COM	406216101	5868	220340 SH	SOLE	220340 0 0	N/A
HALOZYME THERAPEUTICS INC	COM	40637H109	418	28615 SH	SOLE	28615 0 0	N/A
HANCOCK JOHN PFD INCOME FD	SH BEN INT	41013W108	205	10758 SH	SOLE	10758 0 0	N/A
HANESBRANDS INC	COM	410345102	2958	235522 SH	SOLE	235522 0 0	N/A
HANESBRANDS INC	COM	410345102	0	3000 SH	SOLE	3000 0 0	Call
HANOVER INS GROUP INC	COM	410867105	282	2405 SH	SOLE	2405 0 0	N/A
HARLEY DAVIDSON INC	COM	412822108	330	9664 SH	SOLE	9664 0 0	N/A
HARRIS CORP DEL	COM	413875105	2053	15288 SH	SOLE	15288 0 0	N/A
HARSCO CORP	COM	415864107	448	22603 SH	SOLE	22603 0 0	N/A
HARTFORD FINL SVCS GROUP INC	COM	416515104	655	14772 SH	SOLE	14772 0 0	N/A
HASBRO INC	COM	418056107	934	11517 SH	SOLE	11517 0 0	N/A
HAWAIIAN ELEC INDUSTRIES	COM	419870100	664	18114 SH	SOLE	18114 0 0	N/A
HAWAIIAN HOLDINGS INC	COM	419879101	2449	93226 SH	SOLE	93226 0 0	N/A
HCA HEALTHCARE INC	COM	40412C101	4132	33165 SH	SOLE	33165 0 0	N/A
HCP INC	COM	40414L109	612	21690 SH	SOLE	21690 0 0	N/A
HD SUPPLY HLDGS INC	COM	40416M105	336	8926 SH	SOLE	8926 0 0	N/A
HDFC BANK LTD	ADR REPS 3 SHS	40415F101	5156	49822 SH	SOLE	49822 0 0	N/A
HEALTHCARE SVCS GRP INC	COM	421906108	348	8769 SH	SOLE	8769 0 0	N/A
HEALTHCARE TR AMER INC	CL A NEW	42225P501	514	20297 SH	SOLE	20297 0 0	N/A
HEALTHEQUITY INC	COM	42226A107	7623	127843 SH	SOLE	127843 0 0	N/A
HEICO CORP NEW	COM	422806109	471	6109 SH	SOLE	6109 0 0	N/A
HELMERICH & PAYNE INC	COM	423452101	3117	65092 SH	SOLE	65092 0 0	N/A
HENRY JACK & ASSOC INC	COM	426281101	606	4810 SH	SOLE	4810 0 0	N/A
HERBALIFE NUTRITION LTD	COM SHS	G4412G101	1865	31565 SH	SOLE	31565 0 0	N/A
HERBALIFE NUTRITION LTD	COM SHS	G4412G101	0	10000 SH	SOLE	10000 0 0	Put
HERCULES CAPITAL INC	COM	427096508	1124	101619 SH	SOLE	101619 0 0	N/A
HERON THERAPEUTICS INC	COM	427746102	477	18315 SH	SOLE	18315 0 0	N/A
HERSHEY CO	COM	427866108	1963	18314 SH	SOLE	18314 0 0	N/A
HESS CORP	COM	42809H107	738	18183 SH	SOLE	18183 0 0	N/A
HEWLETT PACKARD ENTERPRISE C	COM	42824C109	1984	150438 SH	SOLE	150438 0 0	N/A
HEXCEL CORP NEW	COM	428291108	364	6319 SH	SOLE	6319 0 0	N/A
HFF INC	CL A	40418F108	1178	35556 SH	SOLE	35556 0 0	N/A
HI-CRUSH PARTNERS LP	COM UNIT LTD	428337109	243	67140 SH	SOLE	67140 0 0	N/A
HIGHLAND FLOATNG RATE OPPRT	SHS BEN INT	43010E404	223	17373 SH	SOLE	17373 0 0	N/A
HILTON WORLDWIDE HLDGS INC	COM	43300A203	214	2969 SH	SOLE	2969 0 0	N/A
HOLLY ENERGY PARTNERS L P	COM UT LTD PTN	435763107	5494	192354 SH	SOLE	192354 0 0	N/A
HOLLYFRONTIER CORP	COM	436106108	419	8213 SH	SOLE	8213 0 0	N/A
HOLOGIC INC	COM	436440101	355	8523 SH	SOLE	8523 0 0	N/A
HOME BANCSHARES INC	COM	436893200	237	14580 SH	SOLE	14580 0 0	N/A
HOME DEPOT INC	COM	437076102	70981	413379 SH	SOLE	413379 0 0	N/A
HOME DEPOT INC	COM	437076102	10	1500 SH	SOLE	1500 0 0	Call
HOME DEPOT INC	COM	437076102	4	400 SH	SOLE	400 0 0	Put
HONDA MOTOR LTD	AMERN SHS	438128308	414	15636 SH	SOLE	15636 0 0	N/A
HONEYWELL INTL INC	COM	438516106	1	500 SH	SOLE	500 0 0	Put
HONEYWELL INTL INC	COM	438516106	31770	240556 SH	SOLE	240556 0 0	N/A
HORMEL FOODS CORP	COM	440452100	578	13527 SH	SOLE	13527 0 0	N/A
HOSPITALITY PPTYS TR	COM SH BEN INT	44106M102	3608	150863 SH	SOLE	150863 0 0	N/A
HOST HOTELS & RESORTS INC	COM	44107P104	185	11070 SH	SOLE	11070 0 0	N/A
HOULIHAN LOKEY INC	CL A	441593100	287	7761 SH	SOLE	7761 0 0	N/A
HOVNANIAN ENTERPRISES INC	CL A	442487203	8	11218 SH	SOLE	11218 0 0	N/A
HOWARD HUGHES CORP	COM	44267D107	258	2638 SH	SOLE	2638 0 0	N/A
HP INC	COM	40434L105	2665	130769 SH	SOLE	130769 0 0	N/A
HSBC HLDGS PLC	ADR A 1/40PF A	404280604	277	10750 SH	SOLE	10750 0 0	N/A
